id;bundle_name;price_range;max_people
1;wretched hence slap;institution bah nor;ankle reflect
2;rations quarrelsomely repulsive;shriek;rectangular milkshake supposing
3;excepting near;ack gavel site;gosh musty instead
4;scull;except restfully before;however ultimately
5;baa fooey;fruitful;goodness trundle and
6;pale yum celebrate;phew;quash supportive whoever
7;especially;yuck clank;mud bit
8;snarling brilliant zany;likely;because
9;musculature since;gadzooks;big ah
10;absentmindedly;boo immaculate;trumpet
